Data*Pila - ul. Kusocińskiego (pył zawieszony PM10 [jednostka ug/m3])*Tarnowo Podgórne - ul. Zachodnia (pył zawieszony PM10 [jednostka ug/m3])
2010-11-03 ,34.2,
2010-11-04 ,7.7,
2010-11-05 ,8.7,
2010-11-06 ,7.2,
2010-11-07 ,23.6,
2010-11-08 ,21.9,
2010-11-09 ,37.0,
2010-11-10 ,56.8,
2010-11-11 ,28.0,
2010-11-12 ,13.7,
2010-11-13 ,9.6,
2010-11-14 ,19.3,
2010-11-15 ,22.1,
2010-11-16  ,
2010-11-17 ,17.9,
2010-11-18 ,40.6,
2010-11-19 ,34.3,
2010-11-20 ,70.1,
2010-11-21 ,67.0,
2010-11-22 ,44.0,
2010-11-23 ,13.3,
2010-11-24 ,5.6,
2010-11-25 ,17.6,
2010-11-26  ,
2010-11-27 ,35.7,
2010-11-28 ,58.0,
2010-11-29  ,
2010-11-30  ,
2010-12-01,20.2 ,
2010-12-02,54.7 ,
2010-12-03,54.6 ,
2010-12-04,52.8 ,
2010-12-05,48.2 ,
2010-12-06,38.7 ,
2010-12-07,43.6 ,
2010-12-08 ,61.5,
2010-12-09,26.1,24.9,
2010-12-10,14.1,16.6,
2010-12-11,16.8,15.2,
2010-12-12,5.4,7.9,
2010-12-13,14.0,10.8,
2010-12-14,16.3,13.3,
2010-12-15,38.7,70.4,
2010-12-16,51.8,68.2,
2010-12-17,65.3,73.8,
2010-12-18,111.2,146.7,
2010-12-19,112.4,118.2,
2010-12-20,61.9,36.4,
2010-12-21,53.4,100.0,
2010-12-22,70.1,118.9,
2010-12-23,57.1,94.7,
2010-12-24,26.5,37.0,
2010-12-25,19.7,10.3,
2010-12-26,22.3,20.9,
2010-12-27,63.8,64.7,
2010-12-28,101.0,134.2,
2010-12-29,85.6,82.1,
2010-12-30,38.9,34.1,
2010-12-31,25.7 ,
